Country,Province,County,District,Variables,Year,District_Name,County_Name,Province_Name,Major_Type
۵٩٢٢۵,١٩۶١,٢۴۶,١٧,تعداد پذيرفته شدگان با آزمون کل,1395,چھارباغ,ساوجبلاغ,البرز,انساني
۵٨٠٩۴,١١١٨,١٣٩,۴,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١١٧٣١٩,٣٠٧٩,٣٨۵,٢١,تعداد کل پذيرفته شدگان کل,1395,چھارباغ,ساوجبلاغ,البرز,انساني
۶١/۶۵,۵٩/٧۵,۶۵/٢۵,۶۵/۶٣,درصد قبولي پذيرفته شدگان کل,1395,چھارباغ,ساوجبلاغ,البرز,انساني
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١٢/٣٩,١٢/٠٧,١٢/۶٣,١٠/١۶,فارسی,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٩/۴۵,٨/٩,٨/۶۴,٩/٧٢,عربي,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١٢/٧١,١١/۶٣,١١/٧٧,٧/۶۴,معارف,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٢/۶۶,٣/٧٣,٢/۴٢,٢/٣٩,زبان,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٢/٣٨,٢/٢۴,١/۵۴,٣/۴٩,رياضي,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١۵/۴۶,١٢/٨۵,١٣,٨/۶,اقتصاد,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٨/٠۵,٧/٨,٧/۶۵,۶/٣۴,ادبیات فارسی,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٨/٨٢,٨/٣۴,٨/۶٢,١٣/٢۵,زبان عربی,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٧/۴۶,۵/۵۵,۵/٩۴,٣/٩٩,تاريخ و جغرافیا,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٧/٧۶,۶/٢۴,٧/١٩,۴/۶,علوم اجتماعی,1395,چھارباغ,ساوجبلاغ,البرز,انساني
۴/٣٣,٣/٨۶,٣/٣٨,٣/۵٣,فلسفه و منطق,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٢٧/٩٧,٢۴/۵٢,٢۵/۴۵,٢٧/٣١,روانشناسي,1395,چھارباغ,ساوجبلاغ,البرز,انساني
0,0,0,0,میانگین نمرات قبولین,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١٨/۵٣,١۶/٣٨,١۶/٨٨,١٠/٨۶,فارسی,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١۵/٠۴,١٢/٧٧,١٢/٩۵,١١/٠٢,عربي,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١٩/٣۴,١۵/٨٩,١۶/٢٣,١٠/۶٢,معارف,1395,چھارباغ,ساوجبلاغ,البرز,انساني
۴/۴۶,۵/٢٨,٣/٢,٢/٣,زبان,1395,چھارباغ,ساوجبلاغ,البرز,انساني
۴/٧۵,٣/٨٩,٢/٧٢,۴/۴۵,رياضي,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٢۵/۵,١٨/٩٧,٢٠/٨,٩/١٩,اقتصاد,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١۴/٢٩,١٢/۴٣,١٢/٢٧,٧/٠۴,ادبیات فارسی,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١۵,١٢/٨٩,١٣/٢١,١۵/۶٣,زبان عربی,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١١/۶٨,٨/٢٢,٩/٣١,۴/۶٢,تاريخ و جغرافیا,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١۴/۶۶,١٠/٨٣,١٢/١۵,۴/٧۴,علوم اجتماعی,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٧/٩,۶/۴۴,۶/١٨,۶/١۴,فلسفه و منطق,1395,چھارباغ,ساوجبلاغ,البرز,انساني
٣٩/٣١,٣٢/٠٩,٣٣/۶٣,٢٨/٧۵,روانشناسي,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١٢/۴,١٢/۵٩,١٢/٨٨,١٢/۵۶,میانگین معدل کتبي ثبت نام کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١٢/۴۴,١٢/۶٢,١٢/٩٣,١٢/٧۴,میانگین معدل کتبي شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١٣/۶۶,١٣/٣١,١٣/٨٣,١٣/۴٩,میانگین معدل کتبي پذيرفته شدگان در رشته ھاي با آزمون,1395,چھارباغ,ساوجبلاغ,البرز,انساني
١١/٨٣,١٢/١۴,١٢/١۵,١٠/۵,میانگین معدل کتبي پذيرفته شده شدگان صرفا بر اساس سوابق تحصیلي,1395,چھارباغ,ساوجبلاغ,البرز,انساني
۵٣۶۴,۵٢۵۶,۵٢۶٠,۵۴٠٧,میانگین نمره کل شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,انساني
۶٢٣١,۵٨۶٨,۵٨٧٨,۵۶٨٠,میانگین نمره کل پذيرفته شدگان در رشته ھاي با  آزمون,1395,چھارباغ,ساوجبلاغ,البرز,انساني
۴٠١۴٠,١۴٣٩,۶٧,٢,تعداد ثبت نام کنندگان زن,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٣٠١٣۴,١٠۵۵,۴۶,٢,تعداد شرکت کنندگان زن,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٣۶۶٠,١۶٣,٣,٠,تعداد پذيرفته شدگان با آزمون زن,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٣۴٣٨,١٧٢,٨,٠,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٧٠٩٨,٣٣۵,١١,٠,تعداد کل پذيرفته شدگان زن,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٧/۶٨,٢٣/٢٨,١۶/۴٢,٠,درصد قبولي پذيرفته شدگان زن,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٧٣٠۵,۵۶۶,۴٠,0,تعداد ثبت نام کنندگان مرد,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٢١٠٠,٣٩٩,٢٨,0,تعداد شرکت کنندگان مرد,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١١١۶,۴۶,١,0,تعداد پذيرفته شدگان با آزمون مرد,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٩٧٩,۴١,٢,0,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢٠٩۵,٨٧,٣,0,تعداد کل پذيرفته شدگان مرد,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٢/١١,١۵/٣٧,٧/۵,0,درصد قبولي پذيرفته شدگان مرد,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۵٧۴۴۵,٢٠٠۵,١٠٧,٢,تعداد ثبت نام کنندگان کل,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۴٢٢٣۴,١۴۵۴,٧۴,٢,تعداد شرکت کنندگان کل,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۴٧٧۶,٢٠٩,۴,٠,تعداد پذيرفته شدگان با آزمون کل,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۴۴١٧,٢١٣,١٠,٠,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٩١٩٣,۴٢٢,١۴,٠,تعداد کل پذيرفته شدگان کل,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١۶,٢١/٠۵,١٣/٠٨,٠,درصد قبولي پذيرفته شدگان کل,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢٢/۵۵,٢٠/٨۶,١٧/٧۴,٢٢/٧,فارسی,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١١/٧٢,١٠/۴٢,٨/١٩,١٢/٧,عربي,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢۶/٨۵,٢٢/٩٧,٢١/٧٩,۴٧/٣۵,معارف,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٠/۶٨,١١/٨٨,٧/٢,٠,زبان,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢/۴١,۴/٣۵,١/٨۵,-٢/٢,درک عمومی ھنر,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١١/۵,١٢/۵٩,٩/٧٨,۶/١۵,درک عمومی ریاضی و فیزیک,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢/٣۶,٣/٣٢,١/٣٣,٠/٨۵,ترسیم فني,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۶/٩۶,١٠/٠۴,٧/٨۴,-۵/٨,خلاقیت تصويري و تجسمی,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۴/۴٨,۶/١,٢/٧۵,۵/٠۵,خلاقیت نمايشي,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٠/٨٣,٣/١۴,٠/٩٨,٠,خلاقیت موسیقي,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٠/٩٢,١/٢٨,٠/۶٩,٠/٠۵,خواص مواد,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
0,0,0,0,میانگین نمرات قبولین,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢٣/٧۴,٢٧/٠٧,٢١/٠٢,٠,فارسی,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٠/٢١,١١/۴۵,١٠/٠٢,٠,عربي,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢۶/٢۶,٣١/۵١,١۵/٠٢,٠,معارف,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٢/٨۵,١٧/١۶,۴/٣۵,٠,زبان,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٠/۶٨,١٧/٧٧,۵/٩,٠,درک عمومی ھنر,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١۶/١,١٩/٧۴,١۵/٠۵,٠,درک عمومی ریاضی و فیزیک,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۶/١,١٠/۴۶,۵/٨٨,٠,ترسیم فني,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢٠/٧٧,٢٩/۶٩,٢٣/٣٨,٠,خلاقیت تصويري و تجسمی,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٢/٠٩,١۶/١٩,۴/۶٢,٠,خلاقیت نمايشي,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٣/٩۶,١٢/٨١,۴/١٧,٠,خلاقیت موسیقي,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٢/٩١,۴/٣,٠/٨۵,٠,خواص مواد,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١۴/١,١٣/٩٨,١٣/۴١,١۴/۶٨,میانگین معدل کتبي ثبت نام کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٣/٩٢,١٣/٨٩,١٢/٩۶,١۴/۶٨,میانگین معدل کتبي شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١۴/٢٨,١۴/٨٩,١۴/۵۶,٠,میانگین معدل کتبي پذيرفته شدگان در رشته ھاي با آزمون,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
١٣/٧٢,١٣/۵٣,١٣/٧,٠,میانگین معدل کتبي پذيرفته شده شدگان صرفا بر اساس سوابق تحصیلي,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۵٣٧۵,۵۶١٠,۵٢٨۵,۴۶١٨,میانگین نمره کل شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
۶۵۶٣,٧۴۴٩,۶۵٢٩,٠,میانگین نمره کل پذيرفته شدگان در رشته ھاي با  آزمون,1395,چھارباغ,ساوجبلاغ,البرز,ھنر
٧٩٣۶٠,٢۵٠۴,١۶۵,٩,تعداد ثبت نام کنندگان زن,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۶٣۶١٣,١٩٨٨,١٣٩,۶,تعداد شرکت کنندگان زن,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٣۵۵٩,١٢۴,٢,٠,تعداد پذيرفته شدگان با آزمون زن,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۵٩٢۶,١٨۶,١٣,١,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٩۴٨۵,٣١٠,١۵,١,تعداد کل پذيرفته شدگان زن,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١١/٩۵,١٢/٣٨,٩/٠٩,١١/١١,درصد قبولي پذيرفته شدگان زن,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۴٠۵۵۶,١١٣٣,٧۶,0,تعداد ثبت نام کنندگان مرد,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٣١٣١٣,٨٨٢,۶۶,0,تعداد شرکت کنندگان مرد,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١۴٠٢,۵۶,٢,0,تعداد پذيرفته شدگان با آزمون مرد,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١٨۵٨,٣۵,٣,0,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٣٢۶٠,٩١,۵,0,تعداد کل پذيرفته شدگان مرد,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٨/٠۴,٨/٠٣,۶/۵٨,0,درصد قبولي پذيرفته شدگان مرد,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١١٩٩١۶,٣۶٣٧,٢۴١,٩,تعداد ثبت نام کنندگان کل,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٩۴٩٢۶,٢٨٧٠,٢٠۵,۶,تعداد شرکت کنندگان کل,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۴٩۶١,١٨٠,۴,٠,تعداد پذيرفته شدگان با آزمون کل,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٧٧٨۴,٢٢١,١۶,١,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١٢٧۴۵,۴٠١,٢٠,١,تعداد کل پذيرفته شدگان کل,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١٠/۶٣,١١/٠٣,٨/٣,١١/١١,درصد قبولي پذيرفته شدگان کل,1395,چھارباغ,ساوجبلاغ,البرز,زبان
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٢۶/٣٨,٢۴/۴۵,٢٢/٧٧,١١/۵٨,فارسی,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٢٠/۶٨,١٨/٨,١۵/٩٩,١٢/۶٨,عربي,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٣٣/۵۶,٢٨/۶٧,٢٧/۶۵,١٨/٠۵,معارف,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٢۶/٠٧,٣١/٣,٢١/١۵,٨/٠۵,زبان,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١٣/٩۶,١٨/٢۵,١٠/٢١,٢/۴٣,زبان تخصصی,1395,چھارباغ,ساوجبلاغ,البرز,زبان
0,0,0,0,میانگین نمرات قبولین,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٣۴/۴٧,٣٢/٧,٣٠/۶٨,٠,فارسی,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٢۵/٢۶,٢٢/٨۵,٢۶/٧,٠,عربي,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۴٣/٠۶,٣٨,٣۴/٠۵,٠,معارف,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۵٣/٨,۵٨/٠٨,۵٧/٣٨,٠,زبان,1395,چھارباغ,ساوجبلاغ,البرز,زبان
٣٧/۵,۴٢/٧,۴١/١٣,٠,زبان تخصصی,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١۴/٨,١۴/۵٩,١۴/٣٩,١٣/۶٩,میانگین معدل کتبي ثبت نام کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١۴/٨,١۴/۵٨,١۴/۴۶,١٢/٨٧,میانگین معدل کتبي شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١۵/١٣,١۴/٩٢,١۵/۴٨,٠,میانگین معدل کتبي پذيرفته شدگان در رشته ھاي با آزمون,1395,چھارباغ,ساوجبلاغ,البرز,زبان
١٣/۴۵,١٣/٣٩,١٢/٨,١٧/٣٩,میانگین معدل کتبي پذيرفته شده شدگان صرفا بر اساس سوابق تحصیلي,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۵۵۵١,۵۵٧۴,۵١٧٢,۴١۶۵,میانگین نمره کل شرکت کنندگان,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۶٩٧۵,٧٠٢٢,۶٩٠٠,٠,میانگین نمره کل پذيرفته شدگان در رشته ھاي با  آزمون,1395,چھارباغ,ساوجبلاغ,البرز,زبان
۶٢٧۵٠,٢٧٢٢,١٨٠,١۵۵,تعداد ثبت نام کنندگان زن,1395,مركزي,ساوجبلاغ,البرز,رياضي
۵۴٩٧۵,٢۴٢٢,١۵١,١٢٨,تعداد شرکت کنندگان زن,1395,مركزي,ساوجبلاغ,البرز,رياضي
٣١٢۴۴,١۴٠۶,٨٢,٧۵,تعداد پذيرفته شدگان با آزمون زن,1395,مركزي,ساوجبلاغ,البرز,رياضي
١٢١۵٩,۴٠٠,٣۴,٢٧,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,مركزي,ساوجبلاغ,البرز,رياضي
۴٣۴٠٣,١٨٠۶,١١۶,١٠٢,تعداد کل پذيرفته شدگان زن,1395,مركزي,ساوجبلاغ,البرز,رياضي
۶٩/١٧,۶۶/٣۵,۶۴/۴۴,۶۵/٨١,درصد قبولي پذيرفته شدگان زن,1395,مركزي,ساوجبلاغ,البرز,رياضي
١١٠١٧٢,۴١٣۵,٢٧٨,٢٧٢,تعداد ثبت نام کنندگان مرد,1395,مركزي,ساوجبلاغ,البرز,رياضي
٩۵١۴۶,٣۶٨۵,٢۴٠,٢٣٨,تعداد شرکت کنندگان مرد,1395,مركزي,ساوجبلاغ,البرز,رياضي
۵٣٧۵۴,١٩٩٢,١٢٨,١٢٨,تعداد پذيرفته شدگان با آزمون مرد,1395,مركزي,ساوجبلاغ,البرز,رياضي
٢٠٠٢٣,۵۶١,٣٨,٣۶,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,مركزي,ساوجبلاغ,البرز,رياضي
٧٣٧٧٧,٢۵۵٣,١۶۶,١۶۴,تعداد کل پذيرفته شدگان مرد,1395,مركزي,ساوجبلاغ,البرز,رياضي
۶۶/٩٧,۶١/٧۴,۵٩/٧١,۶٠/٢٩,درصد قبولي پذيرفته شدگان مرد,1395,مركزي,ساوجبلاغ,البرز,رياضي
١٧٢٩٢٢,۶٨۵٧,۴۵٨,۴٢٧,تعداد ثبت نام کنندگان کل,1395,مركزي,ساوجبلاغ,البرز,رياضي
١۵٠١٢١,۶١٠٧,٣٩١,٣۶۶,تعداد شرکت کنندگان کل,1395,مركزي,ساوجبلاغ,البرز,رياضي
٨۴٩٩٨,٣٣٩٨,٢١٠,٢٠٣,تعداد پذيرفته شدگان با آزمون کل,1395,مركزي,ساوجبلاغ,البرز,رياضي
٣٢١٨٢,٩۶١,٧٢,۶٣,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,مركزي,ساوجبلاغ,البرز,رياضي
١١٧١٨٠,۴٣۵٩,٢٨٢,٢۶۶,تعداد کل پذيرفته شدگان کل,1395,مركزي,ساوجبلاغ,البرز,رياضي
۶٧/٧۶,۶٣/۵٧,۶١/۵٧,۶٢/٣,درصد قبولي پذيرفته شدگان کل,1395,مركزي,ساوجبلاغ,البرز,رياضي
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,مركزي,ساوجبلاغ,البرز,رياضي
٢۵/١٣,٢٣/۶,٢١/۶٣,٢٢/١,فارسی,1395,مركزي,ساوجبلاغ,البرز,رياضي
١۶/٩٩,١۵/٩٩,١٣/٣٧,١٣/۵,عربي,1395,مركزي,ساوجبلاغ,البرز,رياضي
٢٩/٣١,٢۵/٣,٢۵/٢۵,٢۵/۵١,معارف,1395,مركزي,ساوجبلاغ,البرز,رياضي
٢٠/۶٩,٢٢/۶١,١۶/٢۴,١۶/٨,زبان,1395,مركزي,ساوجبلاغ,البرز,رياضي
۶/١۴,۵/۴٧,٣/٩۴,۴/١۵,رياضي,1395,مركزي,ساوجبلاغ,البرز,رياضي
٨/۶٧,٧/٠٧,۴/٨١,۵/٠٩,فیزيك,1395,مركزي,ساوجبلاغ,البرز,رياضي
۵/٨۶,۴/٧٩,٣/٧٨,٣/٩۴,شیمي,1395,مركزي,ساوجبلاغ,البرز,رياضي
0,0,0,0,میانگین نمرات قبولین,1395,مركزي,ساوجبلاغ,البرز,رياضي
٣١/٠٢,٢٨/٩,٢۵/٠۶,٢۵/۴۴,فارسی,1395,مركزي,ساوجبلاغ,البرز,رياضي
٢٢/٢٢,٢٠/۶١,١۶/٩۵,١٧/١۵,عربي,1395,مركزي,ساوجبلاغ,البرز,رياضي
٣٧/٩٧,٣٢/۴٣,٣٠/٩۵,٣١/٣٢,معارف,1395,مركزي,ساوجبلاغ,البرز,رياضي
٢۶/۵٩,٢٧/٩۶,١٩/٩٨,٢٠/۶۵,زبان,1395,مركزي,ساوجبلاغ,البرز,رياضي
٩/٧١,٨/۵٧,۵/٧,۵/٨٩,رياضي,1395,مركزي,ساوجبلاغ,البرز,رياضي
١٣/٧٢,١١/٠٧,٧/۶٨,٧/٩,فیزيك,1395,مركزي,ساوجبلاغ,البرز,رياضي
٩/٢,٧/۴,۵/۴٧,۵/۵۴,شیمي,1395,مركزي,ساوجبلاغ,البرز,رياضي
١٣/۵٣,١٣/۴۵,١٣/١٩,١٣/٢١,میانگین معدل کتبي ثبت نام کنندگان,1395,مركزي,ساوجبلاغ,البرز,رياضي
١٣/۶,١٣/۵,١٣/٢٧,١٣/٢٩,میانگین معدل کتبي شرکت کنندگان,1395,مركزي,ساوجبلاغ,البرز,رياضي
١۴/۶٩,١۴/۴١,١٣/٨٧,١٣/٩۵,میانگین معدل کتبي پذيرفته شدگان در رشته ھاي با آزمون,1395,مركزي,ساوجبلاغ,البرز,رياضي
١٢/٠٧,١٢/٣٣,١٢/٣١,١٢/١,میانگین معدل کتبي پذيرفته شده شدگان صرفا بر اساس سوابق تحصیلي,1395,مركزي,ساوجبلاغ,البرز,رياضي
۵١٧٩,۵٠٢١,۴٨٢۵,۴٨۶٨,میانگین نمره کل شرکت کنندگان,1395,مركزي,ساوجبلاغ,البرز,رياضي
۵٩۵٧,۵۶٨۴,۵٣١٣,۵٣۵۵,میانگین نمره کل پذيرفته شدگان در رشته ھاي با  آزمون,1395,مركزي,ساوجبلاغ,البرز,رياضي
٣۴۵٨٠٩,٩۵٠٣,٨٩٢,٧٨۶,تعداد ثبت نام کنندگان زن,1395,مركزي,ساوجبلاغ,البرز,تجربي
٣٠٣۴١٩,٨۵١٩,٧٩۵,۶٩٨,تعداد شرکت کنندگان زن,1395,مركزي,ساوجبلاغ,البرز,تجربي
۴٨٧٠١,١٧٠۴,١۴۵,١٢٩,تعداد پذيرفته شدگان با آزمون زن,1395,مركزي,ساوجبلاغ,البرز,تجربي
۴۴۴۵۶,٩١٨,٨٧,٧٠,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,مركزي,ساوجبلاغ,البرز,تجربي
٩٣١۵٧,٢۶٢٢,٢٣٢,١٩٩,تعداد کل پذيرفته شدگان زن,1395,مركزي,ساوجبلاغ,البرز,تجربي
٢۶/٩۴,٢٧/۵٩,٢۶/٠١,٢۵/٣٢,درصد قبولي پذيرفته شدگان زن,1395,مركزي,ساوجبلاغ,البرز,تجربي
١٨٩٣٠٢,۴٠٨٨,۴۴٩,۴٣٧,تعداد ثبت نام کنندگان مرد,1395,مركزي,ساوجبلاغ,البرز,تجربي
١۶١٨٩۶,٣۶٢۵,۴٠۴,٣٩٢,تعداد شرکت کنندگان مرد,1395,مركزي,ساوجبلاغ,البرز,تجربي
٢۴٨۵۵,٨٠٧,٨٣,٧٩,تعداد پذيرفته شدگان با آزمون مرد,1395,مركزي,ساوجبلاغ,البرز,تجربي
٢۴٣٨١,٣۴٣,۴٩,۴٨,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,مركزي,ساوجبلاغ,البرز,تجربي
۴٩٢٣۶,١١۵٠,١٣٢,١٢٧,تعداد کل پذيرفته شدگان مرد,1395,مركزي,ساوجبلاغ,البرز,تجربي
٢۶/٠١,٢٨/١٣,٢٩/۴,٢٩/٠۶,درصد قبولي پذيرفته شدگان مرد,1395,مركزي,ساوجبلاغ,البرز,تجربي
۵٣۵١١١,١٣۵٩١,١٣۴١,١٢٢٣,تعداد ثبت نام کنندگان کل,1395,مركزي,ساوجبلاغ,البرز,تجربي
۴۶۵٣١۵,١٢١۴۴,١١٩٩,١٠٩٠,تعداد شرکت کنندگان کل,1395,مركزي,ساوجبلاغ,البرز,تجربي
٧٣۵۵۶,٢۵١١,٢٢٨,٢٠٨,تعداد پذيرفته شدگان با آزمون کل,1395,مركزي,ساوجبلاغ,البرز,تجربي
۶٨٨٣٧,١٢۶١,١٣۶,١١٨,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,مركزي,ساوجبلاغ,البرز,تجربي
١۴٢٣٩٣,٣٧٧٢,٣۶۴,٣٢۶,تعداد کل پذيرفته شدگان کل,1395,مركزي,ساوجبلاغ,البرز,تجربي
٢۶/۶١,٢٧/٧۵,٢٧/١۴,٢۶/۶۶,درصد قبولي پذيرفته شدگان کل,1395,مركزي,ساوجبلاغ,البرز,تجربي
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,مركزي,ساوجبلاغ,البرز,تجربي
٢۴/۵,٢۴/٨٢,٢٢/٠٢,٢٢/۴٧,فارسی,1395,مركزي,ساوجبلاغ,البرز,تجربي
١۵/٢۴,١۵/٨٣,١٣/۴۶,١٣/٩٧,عربي,1395,مركزي,ساوجبلاغ,البرز,تجربي
٢۶/۵٣,٢۵/٣٢,٢۴/٧,٢۵/۴,معارف,1395,مركزي,ساوجبلاغ,البرز,تجربي
١١/۴٢,١۴/٨٣,٩/١۴,٩/۶٣,زبان,1395,مركزي,ساوجبلاغ,البرز,تجربي
٠/۶,٠/۴,٠/۵٣,٠/۶,زمین شناسی,1395,مركزي,ساوجبلاغ,البرز,تجربي
۶/١۵,۶/۶,۴/٨۶,۵/١٢,رياضي,1395,مركزي,ساوجبلاغ,البرز,تجربي
٨/٠۵,٧/٨,٧/١٢,٧/٣۶,زيست شناسي,1395,مركزي,ساوجبلاغ,البرز,تجربي
۵/٨٣,۶/٠۵,۴/٨,۵/٠۵,فیزيك,1395,مركزي,ساوجبلاغ,البرز,تجربي
۶/۴٩,۶/٢,۵/۶,۵/٨۵,شیمي,1395,مركزي,ساوجبلاغ,البرز,تجربي
0,0,0,0,میانگین نمرات قبولین,1395,مركزي,ساوجبلاغ,البرز,تجربي
٣٩/۶٣,٣۵/۶٩,٣٢/٠٧,٣٣/۴٢,فارسی,1395,مركزي,ساوجبلاغ,البرز,تجربي
